Identification :	anonyme	 Operateur : 	Régis	 Id tablette : 	612374849	 Id Curseur : 	 ??? 
2019-02-20	 11-45-48
Fichier origine : 	C:\Users\utilisateur\Desktop\lettre a ecriture normale
Nb segments :	1
Seg	 Num	 X /100 mm	 Y /100 mm	 Interv ms	 Time ms	 Tip 	P	 Az 	 Al
0	0	15620	9973	5027	5027	0	0	14	86
0	1	15619	9975	7	5034	0	0	14	86
0	2	15619	9976	8	5042	0	0	14	86
0	3	15619	9978	7	5049	0	0	14	86
0	4	15619	9980	8	5057	0	0	14	86
0	5	15619	9983	7	5064	0	0	18	87
0	6	15619	9986	8	5072	0	0	18	87
0	7	15619	9992	7	5079	0	0	18	87
0	8	15620	9999	8	5087	0	0	18	87
0	9	15629	10002	7	5094	0	0	18	87
0	10	15642	10006	8	5102	0	0	18	87
0	11	15659	10013	7	5109	0	0	27	88
0	12	15682	10020	8	5117	0	0	45	87
0	13	15708	10029	7	5124	0	0	72	87
0	14	15735	10042	8	5132	0	0	90	85
0	15	15762	10057	7	5139	0	0	90	84
0	16	15762	10063	8	5147	0	0	97	82
0	17	15766	10079	7	5154	0	0	108	81
0	18	15772	10097	8	5162	0	0	114	78
0	19	15786	10117	8	5170	0	0	118	75
0	20	15808	10140	7	5177	0	0	121	73
0	21	15829	10161	8	5185	0	0	122	70
0	22	15850	10182	7	5192	0	0	125	68
0	23	15875	10188	8	5200	0	0	126	66
0	24	15906	10194	7	5207	0	0	125	64
0	25	15942	10212	8	5215	0	0	126	61
0	26	15969	10216	7	5222	0	0	128	59
0	27	15998	10224	8	5230	0	0	127	57
0	28	16031	10231	7	5237	0	0	126	56
0	29	16064	10238	8	5245	0	0	125	54
0	30	16099	10242	7	5252	0	0	124	52
0	31	16133	10248	8	5260	0	0	123	51
0	32	16162	10250	7	5267	0	0	124	50
0	33	16188	10258	8	5275	0	0	123	49
0	34	16208	10271	7	5282	0	0	123	49
0	35	16221	10284	8	5290	0	0	122	50
0	36	16231	10301	7	5297	0	0	122	50
0	37	16231	10301	14	5311	1	125	122	50
0	38	16244	10348	8	5319	1	196	121	51
0	39	16250	10378	7	5326	1	276	122	51
0	40	16254	10413	8	5334	1	341	122	51
0	41	16258	10449	7	5341	1	388	123	52
0	42	16261	10486	8	5349	1	427	123	52
0	43	16261	10525	7	5356	1	461	124	53
